reference_id,commandment_concept,scripture_english
EXO 20:2,Know there is a G-d ,"""I am the LORD your God, who brought you out of the land of Egypt, out of the house of slavery."
EXO 20:3,Do not entertain thoughts of other gods besides G-d ,"""You shall have no other gods before Me."
DEU 6:4,"Know that G-d is One, a complete Unity ","""Hear, O Israel! The LORD is our God, the LORD is one!"
DEU 6:5,Love G-d ,"""You shall love the LORD your God with all your heart and with all your soul and with all your might."
DEU 10:20,Fear G-d reverently ,"""You shall fear the LORD your God; you shall serve Him and cling to Him, and you shall swear by His name."
LEV 22:32,Sanctify G-d's Name ,"""You shall not profane My holy name, but I will be sanctified among the sons of Israel; I am the LORD who sanctifies you,"
LEV 22:32,Do not profane G-d's Name ,"""You shall not profane My holy name, but I will be sanctified among the sons of Israel; I am the LORD who sanctifies you,"
DEU 12:4,Do not destroy objects associated with G-d's Name ,"""You shall not act like this toward the LORD your God."
DEU 18:15,Listen to the prophet speaking in G-d's Name ,"""The LORD your God will raise up for you a prophet like me from among you, from your countrymen, you shall listen to him."
DEU 6:16,Do not test G-d unduly ,"""You shall not put the LORD your God to the test, as you tested Him at Massah."
DEU 28:9,Emulate G-d's ways ,"""The LORD will establish you as a holy people to Himself, as He swore to you, if you keep the commandments of the LORD your God and walk in His ways."
DEU 10:20,Cleave to those who know G-d (and His Law),"""You shall fear the LORD your God; you shall serve Him and cling to Him, and you shall swear by His name."
LEV 19:18,Love other covenant members ,"'You shall not take vengeance, nor bear any grudge against the sons of your people, but you shall love your neighbor as yourself; I am the LORD."
DEU 10:19,Show love towards foreigners ,"""So show your love for the alien, for you were aliens in the land of Egypt."
LEV 19:17,Do not hate fellow covenant members ,"'You shall not hate your fellow countryman in your heart; you may surely reprove your neighbor, but shall not incur sin because of him."
LEV 19:17,Reprove a neighbor who sins ,"'You shall not hate your fellow countryman in your heart; you may surely reprove your neighbor, but shall not incur sin because of him."
LEV 19:17,Do not embarrass others ,"'You shall not hate your fellow countryman in your heart; you may surely reprove your neighbor, but shall not incur sin because of him."
EXO 22:21,Do not oppress the stranger ,"""You shall not wrong a stranger or oppress him, for you were strangers in the land of Egypt."
LEV 19:16,Do not gossip about others ,"'You shall not go about as a slanderer among your people, and you are not to act against the life of your neighbor; I am the LORD."
LEV 19:18,Do not take revenge ,"'You shall not take vengeance, nor bear any grudge against the sons of your people, but you shall love your neighbor as yourself; I am the LORD."
LEV 19:18,Do not bear a grudge ,"'You shall not take vengeance, nor bear any grudge against the sons of your people, but you shall love your neighbor as yourself; I am the LORD."
DEU 6:7,Learn the Law (Torah),"""You shall teach them diligently to your sons and shall talk of them when you sit in your house and when you walk by the way and when you lie down and when you rise up."
LEV 19:32,Honor the wise and the aged (who know and teach G-d's Law),"'You shall rise up before the grayheaded and honor the aged, and you shall revere your God; I am the LORD."
LEV 19:4,Do not inquire into idolatry ,'Do not turn to idols or make for yourselves molten gods; I am the LORD your God.
NUM 15:39,Do not follow the whims of your heart or what your eyes see ,"""It shall be a tassel for you to look at and remember all the commandments of the LORD, so as to do them and not follow after your own heart and your own eyes, after which you played the harlot,"
EXO 22:28,Do not curse G-d ,"""You shall not curse God, nor curse a ruler of your people."
EXO 20:5,Do not worship idols in the manner they are worshiped ,"""You shall not worship them or serve them; for I, the LORD your God, am a jealous God, visiting the iniquity of the fathers on the children, on the third and the fourth generations of those who hate Me,"
EXO 20:5,Do not worship idols in the four ways we worship G-d ,"""You shall not worship them or serve them; for I, the LORD your God, am a jealous God, visiting the iniquity of the fathers on the children, on the third and the fourth generations of those who hate Me,"
EXO 20:4,Do not make an idol for yourself ,"""You shall not make for yourself an idol, or any likeness of what is in heaven above or on the earth beneath or in the water under the earth."
LEV 19:4,Do not make an idol for others ,'Do not turn to idols or make for yourselves molten gods; I am the LORD your God.
EXO 20:23,Do not make human forms even for decorative purposes ,"You shall not make other gods besides Me; gods of silver or gods of gold, you shall not make for yourselves."
EXO 23:13,Do not turn a city to idolatry ,"""Now concerning everything which I have said to you, be on your guard; and do not mention the name of other gods, nor let them be heard from your mouth."
DEU 13:17,Burn a city that has turned to idol worship ,"""Nothing from that which is put under the ban shall cling to your hand, in order that the LORD may turn from His burning anger and show mercy to you, and have compassion on you and make you increase, just as He has sworn to your fathers,"
DEU 13:17,Do not rebuild an idolatrous city that has been burned ,"""Nothing from that which is put under the ban shall cling to your hand, in order that the LORD may turn from His burning anger and show mercy to you, and have compassion on you and make you increase, just as He has sworn to your fathers,"
DEU 13:18,Do not derive benefit from an idolatrous city ,"if you will listen to the voice of the LORD your God, keeping all His commandments which I am commanding you today, and doing what is right in the sight of the LORD your God."
DEU 13:12,Do not entice an individual to idol worship ,"""If you hear in one of your cities, which the LORD your God is giving you to live in, anyone saying that"
DEU 13:9,Do not love those who entice others into idolatry ,"""But you shall surely kill him; your hand shall be first against him to put him to death, and afterwards the hand of all the people."
DEU 13:9,Do not cease hating an idolater ,"""But you shall surely kill him; your hand shall be first against him to put him to death, and afterwards the hand of all the people."
DEU 13:9,Do not save an idolater from execution ,"""But you shall surely kill him; your hand shall be first against him to put him to death, and afterwards the hand of all the people."
DEU 13:9,Do not say anything in an idolater's defense ,"""But you shall surely kill him; your hand shall be first against him to put him to death, and afterwards the hand of all the people."
DEU 13:9,Do not refrain from incriminating an idolater ,"""But you shall surely kill him; your hand shall be first against him to put him to death, and afterwards the hand of all the people."
DEU 18:20,Do not prophesy in the name of idolatry ,"'But the prophet who speaks a word presumptuously in My name which I have not commanded him to speak, or which he speaks in the name of other gods, that prophet shall die.'"
DEU 13:4,Do not listen to a false prophet ,"""You shall follow the LORD your God and fear Him; and you shall keep His commandments, listen to His voice, serve Him, and cling to Him."
DEU 18:20,Do not prophesy falsely in the name of G-d ,"'But the prophet who speaks a word presumptuously in My name which I have not commanded him to speak, or which he speaks in the name of other gods, that prophet shall die.'"
DEU 18:22,Do not be afraid of killing the false prophet ,"""When a prophet speaks in the name of the LORD, if the thing does not come about or come true, that is the thing which the LORD has not spoken. The prophet has spoken it presumptuously; you shall not be afraid of him."
EXO 23:13,Do not swear in the name of an idol ,"""Now concerning everything which I have said to you, be on your guard; and do not mention the name of other gods, nor let them be heard from your mouth."
LEV 19:31,Do not inquire of spirits,'Do not turn to mediums or spiritists; do not seek them out to be defiled by them. I am the LORD your God.
LEV 19:31,Do not consult magicians or seers,'Do not turn to mediums or spiritists; do not seek them out to be defiled by them. I am the LORD your God.
LEV 18:21,Do not pass your children through the fire to Molech ,"'You shall not give any of your offspring to offer them to Molech, nor shall you profane the name of your God; I am the LORD."
DEU 16:22,Do not erect a pillar in a public place of worship ,"""You shall not set up for yourself a sacred pillar which the LORD your God hates."
LEV 26:1,Do not bow down on smooth stone ,"You shall not make for yourselves idols, nor shall you set up for yourselves an image or a sacred pillar, nor shall you place a figured stone in your land to bow down to it; for I am the LORD your God."
DEU 16:21,Do not plant a tree in the Temple courtyard,"""You shall not plant for yourself an Asherah of any kind of tree beside the altar of the LORD your God, which you shall make for yourself."
DEU 12:2,Destroy idols and their accessories ,"""You shall utterly destroy all the places where the nations whom you shall dispossess serve their gods, on the high mountains and on the hills and under every green tree."
DEU 7:26,Do not derive benefit from idols and their accessories ,"""You shall not bring an abomination into your house, and like it come under the ban; you shall utterly detest it and you shall utterly abhor it, for it is something banned."
DEU 7:25,Do not derive benefit from ornaments of idols ,"""The graven images of their gods you are to burn with fire; you shall not covet the silver or the gold that is on them, nor take it for yourselves, or you will be snared by it, for it is an abomination to the LORD your God."
DEU 7:2,Do not make a covenant with idolaters ,"and when the LORD your God delivers them before you and you defeat them, then you shall utterly destroy them. You shall make no covenant with them and show no favor to them."
DEU 7:2,Do not show favor to idolaters ,"and when the LORD your God delivers them before you and you defeat them, then you shall utterly destroy them. You shall make no covenant with them and show no favor to them."
EXO 23:33,Do not let idolaters dwell in the Land of Israel ,"""They shall not live in your land, because they will make you sin against Me; for if you serve their gods, it will surely be a snare to you."""
LEV 20:23,Do not imitate idolaters in customs and clothing ,"'Moreover, you shall not follow the customs of the nation which I will drive out before you, for they did all these things, and therefore I have abhorred them."
LEV 19:26,Do not be superstitious ,"You shall not eat anything with the blood, nor practice divination or soothsaying."
DEU 18:10,"Do not go into a trance to foresee events, etc","""There shall not be found among you anyone who makes his son or his daughter pass through the fire, one who uses divination, one who practices witchcraft, or one who interprets omens, or a sorcerer,"
LEV 19:26,Do not engage in astrology ,"You shall not eat anything with the blood, nor practice divination or soothsaying."
DEU 18:11,Do not mutter incantations ,"or one who casts a spell, or a medium, or a spiritist, or one who calls up the dead."
DEU 18:11,Do not attempt to contact the dead ,"or one who casts a spell, or a medium, or a spiritist, or one who calls up the dead."
DEU 18:11,Do not consult ghosts or spirits,"or one who casts a spell, or a medium, or a spiritist, or one who calls up the dead."
DEU 18:11,Do not consult magicians or wizards,"or one who casts a spell, or a medium, or a spiritist, or one who calls up the dead."
DEU 18:10,Do not perform acts of magic ,"""There shall not be found among you anyone who makes his son or his daughter pass through the fire, one who uses divination, one who practices witchcraft, or one who interprets omens, or a sorcerer,"
LEV 19:27,Men must not shave the hair off the sides of their head ,'You shall not round off the side-growth of your heads nor harm the edges of your beard.
LEV 19:27,Men must not shave their beards with a razor ,'You shall not round off the side-growth of your heads nor harm the edges of your beard.
DEU 22:5,Men must not wear women's clothing ,"""A woman shall not wear man's clothing, nor shall a man put on a woman's clothing; for whoever does these things is an abomination to the LORD your God."
DEU 22:5,Women must not wear men's clothing ,"""A woman shall not wear man's clothing, nor shall a man put on a woman's clothing; for whoever does these things is an abomination to the LORD your God."
LEV 19:28,Do not tattoo the skin ,'You shall not make any cuts in your body for the dead nor make any tattoo marks on yourselves: I am the LORD.
DEU 14:1,Do not tear or cut the skin in mourning ,"""You are the sons of the LORD your God; you shall not cut yourselves nor shave your forehead for the sake of the dead."
DEU 14:1,Do not make a bald spot in mourning ,"""You are the sons of the LORD your God; you shall not cut yourselves nor shave your forehead for the sake of the dead."
NUM 5:7,Repent and confess wrongdoings ,"then he shall confess his sins which he has committed, and he shall make restitution in full for his wrong and add to it one-fifth of it, and give it to him whom he has wronged."
DEU 6:7,Recite the Shema twice daily ,"""You shall teach them diligently to your sons and shall talk of them when you sit in your house and when you walk by the way and when you lie down and when you rise up."
EXO 23:25,Serve the Almighty [traditionally: with daily prayer] ,"""But you shall serve the LORD your God, and He will bless your bread and your water; and I will remove sickness from your midst."
NUM 6:23,The priests must bless the Israelite nation daily ,"""Speak to Aaron and to his sons, saying, 'Thus you shall bless the sons of Israel. You shall say to them:"
DEU 6:8,Wear tefillin (phylacteries) on the head ,"""You shall bind them as a sign on your hand and they shall be as frontals on your forehead."
DEU 6:8,Bind tefillin on the arm ,"""You shall bind them as a sign on your hand and they shall be as frontals on your forehead."
DEU 6:9,Put the commandments on each door post ,"""You shall write them on the doorposts of your house and on your gates."
DEU 31:19,Each male must write a scroll of the Law,"""Now therefore, write this song for yourselves, and teach it to the sons of Israel; put it on their lips, so that this song may be a witness for Me against the sons of Israel."
DEU 17:18,The king must have a separate book of the Law for himself ,"""Now it shall come about when he sits on the throne of his kingdom, he shall write for himself a copy of this law on a scroll in the presence of the Levitical priests."
NUM 15:38,Have tzitzit on four-cornered garments ,"""Speak to the sons of Israel, and tell them that they shall make for themselves tassels on the corners of their garments throughout their generations, and that they shall put on the tassel of each corner a cord of blue."
DEU 8:10,Bless the Almighty after eating ,"""When you have eaten and are satisfied, you shall bless the LORD your God for the good land which He has given you."
LEV 12:3,Circumcise all males on the eighth day after their birth ,'On the eighth day the flesh of his foreskin shall be circumcised.
EXO 23:12,Rest on the seventh day Sabbath,"""Six days you are to do your work, but on the seventh day you shall cease from labor so that your ox and your donkey may rest, and the son of your female slave, as well as your stranger, may refresh themselves."
EXO 20:10,Do not do prohibited labor on the seventh day Sabbath,"but the seventh day is a sabbath of the LORD your God; in it you shall not do any work, you or your son or your daughter, your male or your female servant or your cattle or your sojourner who stays with you."
EXO 35:3,The court must not inflict punishment on the Sabbath,"""You shall not kindle a fire in any of your dwellings on the sabbath day."""
EXO 16:29,Do not walk outside the city boundary on the Sabbath,"""See, the LORD has given you the sabbath; therefore He gives you bread for two days on the sixth day. Remain every man in his place; let no man go out of his place on the seventh day."""
EXO 20:8,Sanctify the Sabbath (in speech) from beginning to end,"""Remember the sabbath day, to keep it holy."
LEV 23:32,Do not do prohibited labor on the Day of Atonement,"""It is to be a sabbath of complete rest to you, and you shall humble your souls; on the ninth of the month at evening, from evening until evening you shall keep your sabbath."""
